wavelength / nm,absorption x-section / m^2 for concn=0.02 mM,absorption x-section / m^2 for concn=0.2 mM,absorption x-section / m^2 for concn=2.0 mM,absorption x-section / m^2 for concn=20.0 mM
366.0,5.5986938723849158e-22,5.225586651759225e-22,1.6102770957326163e-22,1.5349013729892956e-23
367.0,5.2222497509598914e-22,4.8629072461314599e-22,1.6084835115529735e-22,1.5350716939675949e-23
368.0,4.6546290212396099e-22,4.5766984838217967e-22,1.6047781612903782e-22,1.533330248862942e-23
369.0,4.4693615081098435e-22,4.3287250431711849e-22,1.6029845771107354e-22,1.529677037675336e-23
370.0,4.284093994980077e-22,4.0998692633500997e-22,1.5973674607651874e-22,1.531759124736588e-23
371.0,4.0988264818503087e-22,3.9283664660175912e-22,1.589838578336687e-22,1.5319294457148874e-23
372.0,3.9135589687205423e-22,3.7377460078555566e-22,1.5823096959081863e-22,1.5301880006102341e-23
373.0,3.728291455590775e-22,3.6235961930116252e-22,1.5728690473967333e-22,1.5284465555055811e-23
374.0,3.5430239424610076e-22,3.5285640389972191e-22,1.5710754632170905e-22,1.5267051104009279e-23
375.0,3.5489330376264978e-22,3.4717672066418653e-22,1.569281879037448e-22,1.5287871974621799e-23
376.0,3.7460187410872442e-22,3.4149703742865106e-22,1.5655765287748527e-22,1.5308692845234319e-23
377.0,3.7519278362527339e-22,3.3772912027606816e-22,1.5618711785122572e-22,1.5272160733358263e-23
378.0,3.566660323122967e-22,3.3587296920643783e-22,1.5562540621667092e-22,1.525474628231173e-23
379.0,3.5725694182884567e-22,3.3592858421976012e-22,1.5563722440700189e-22,1.5256449492094724e-23
380.0,3.5784785134539465e-22,3.3789596531603493e-22,1.560313958139234e-22,1.5258152701877717e-23
381.0,3.5843876086194362e-22,3.3986334641230979e-22,1.5623439061254964e-22,1.5240738250831187e-23
382.0,3.7814733120801825e-22,3.4183072750858456e-22,1.5624620880288061e-22,1.5242441460614181e-23
383.0,3.7873824072456727e-22,3.4188634252190685e-22,1.5606685038491633e-22,1.5244144670397178e-23
384.0,3.7932915024111625e-22,3.4385372361818166e-22,1.5607866857524732e-22,1.5226730219350642e-23
385.0,3.6080239892813951e-22,3.4390933863150395e-22,1.5609048676557829e-22,1.5209315768304112e-23
