wavelength / nm,fluorescence / counts
485.01999999999998,422.33300000000008
485.14999999999998,430.58300000000008
485.27999999999997,412.83300000000008
485.42000000000002,418.83300000000008
485.55000000000001,428.58300000000008
485.68000000000001,434.83300000000008
485.81,460.58300000000008
485.94,469.33300000000008
486.07999999999998,479.33300000000003
486.20999999999998,504.08299999999997
486.33999999999997,521.58300000000008
486.47000000000003,542.08299999999997
486.60000000000002,556.58299999999997
486.73000000000002,542.58299999999997
486.87,530.83300000000008
487.0,535.83299999999997
487.13,527.58300000000008
487.25999999999999,525.08299999999997
487.38999999999999,513.08300000000008
487.51999999999998,488.08300000000008
487.66000000000003,491.58300000000003
487.79000000000002,523.83299999999997
487.92000000000002,540.58299999999997
488.05000000000001,534.83299999999997
488.18000000000001,522.83299999999997
488.31,515.33300000000008
488.44,524.33299999999997
488.57999999999998,525.83300000000008
488.70999999999998,522.08299999999997
488.83999999999997,518.58300000000008
488.97000000000003,511.33299999999997
489.10000000000002,497.83300000000008
489.23000000000002,493.58300000000003
489.36000000000001,489.08299999999997
489.5,467.83300000000008
489.63,462.83300000000008
489.75999999999999,460.58300000000008
489.88999999999999,457.58300000000008
490.01999999999998,467.83300000000008
490.14999999999998,476.58300000000008
490.27999999999997,473.08300000000008
490.42000000000002,439.33300000000008
490.55000000000001,406.83300000000008
490.68000000000001,429.08300000000008
490.81,469.83300000000008
490.94,469.58300000000008
491.06999999999999,432.83300000000008
491.19999999999999,413.08300000000008
491.32999999999998,418.33300000000008
491.47000000000003,400.83300000000008
491.60000000000002,396.58300000000008
491.73000000000002,418.58300000000008
491.86000000000001,390.33300000000008
491.99000000000001,354.58300000000008
492.12,376.83300000000008
492.25,399.58300000000008
492.38,397.83300000000008
492.50999999999999,387.58300000000008
492.63999999999999,385.33300000000008
492.77999999999997,377.08300000000008
492.91000000000003,356.83300000000008
493.04000000000002,368.83300000000008
493.17000000000002,389.33300000000008
493.30000000000001,368.33300000000008
493.43000000000001,340.08300000000008
493.56,346.83300000000008
493.69,346.33300000000008
493.81999999999999,324.08300000000003
493.94999999999999,300.58300000000003
494.08999999999997,267.58300000000003
494.22000000000003,260.58299999999997
494.35000000000002,308.83300000000003
494.48000000000002,347.83300000000008
494.61000000000001,335.58300000000008
494.74000000000001,312.33300000000003
494.87,330.33300000000003
495.0,366.58300000000008
495.13,360.08300000000008
495.25999999999999,346.58300000000003
495.38999999999999,349.58300000000008
495.51999999999998,342.08300000000008
495.64999999999998,323.08300000000003
495.77999999999997,312.58300000000003
495.92000000000002,321.33300000000003
496.05000000000001,315.58300000000003
496.18000000000001,315.33300000000003
496.31,319.08300000000003
496.44,309.33300000000003
496.56999999999999,319.83300000000003
496.69999999999999,324.83300000000003
496.82999999999998,326.58300000000003
496.95999999999998,341.58300000000003
497.08999999999997,352.33300000000008
497.22000000000003,343.58300000000008
497.35000000000002,319.08300000000003
497.48000000000002,311.83300000000003
497.61000000000001,313.33300000000003
497.74000000000001,304.33300000000003
497.87,298.33300000000003
498.0,306.08300000000003
498.13,305.58300000000003
498.25999999999999,285.33300000000003
498.38999999999999,272.83300000000003
498.52999999999997,263.83300000000003
498.66000000000003,251.833
498.79000000000002,257.58299999999997
498.92000000000002,277.33300000000003
499.05000000000001,274.08300000000003
499.18000000000001,253.583
499.31,240.08300000000003
499.44,227.333
499.56999999999999,233.083
499.69999999999999,250.083
499.82999999999998,257.08300000000003
499.95999999999998,254.33300000000003
500.08999999999997,232.833
500.22000000000003,210.333
500.35000000000002,202.333
500.48000000000002,204.583
500.61000000000001,211.583
500.74000000000001,209.333
500.87,199.083
501.0,182.083
501.13,193.833
501.25999999999999,218.083
501.38999999999999,213.083
501.51999999999998,208.333
501.64999999999998,221.583
501.77999999999997,231.333
501.91000000000003,210.083
502.04000000000002,189.333
502.17000000000002,178.583
502.30000000000001,173.083
502.43000000000001,182.333
502.56,179.833
502.69,169.083
502.81999999999999,175.583
502.94999999999999,188.083
503.07999999999998,192.583
503.20999999999998,177.833
503.33999999999997,160.583
503.47000000000003,166.083
503.60000000000002,177.833
503.73000000000002,181.833
503.86000000000001,173.833
503.99000000000001,172.333
504.11000000000001,172.333
504.24000000000001,163.333
504.37,144.333
504.5,113.833
504.63,126.083
504.75999999999999,161.083
504.88999999999999,158.583
505.01999999999998,149.583
505.14999999999998,132.333
505.27999999999997,124.833
505.41000000000003,141.583
505.54000000000002,126.333
505.67000000000002,108.083
505.80000000000001,122.083
505.93000000000001,152.833
506.06,180.583
506.19,191.833
506.31999999999999,200.833
506.44999999999999,194.833
506.57999999999998,182.083
506.70999999999998,179.583
506.82999999999998,173.333
506.95999999999998,176.333
507.08999999999997,183.333
507.22000000000003,186.833
507.35000000000002,192.333
507.48000000000002,187.083
507.61000000000001,186.083
507.74000000000001,188.083
507.87,191.833
508.0,197.083
508.13,199.083
508.25999999999999,188.333
508.38999999999999,162.833
508.50999999999999,171.583
508.63999999999999,182.333
508.76999999999998,157.333
508.89999999999998,152.333
509.02999999999997,181.583
509.16000000000003,189.833
509.29000000000002,183.083
509.42000000000002,183.583
509.55000000000001,185.083
509.68000000000001,210.333
509.81,241.58300000000003
509.93000000000001,237.083
510.06,215.333
510.19,207.833
510.31999999999999,214.583
510.44999999999999,225.083
510.57999999999998,204.583
510.70999999999998,175.583
510.83999999999997,184.833
510.97000000000003,181.833
511.08999999999997,166.333
511.22000000000003,188.083
511.35000000000002,210.333
511.48000000000002,226.833
511.61000000000001,238.33300000000003
511.74000000000001,225.083
511.87,226.083
512.0,245.333
512.12,254.58300000000003
512.25,240.833
512.38,229.083
512.50999999999999,235.08300000000003
512.63999999999999,227.333
512.76999999999998,217.333
512.89999999999998,227.833
513.01999999999998,223.58300000000003
513.14999999999998,198.833
513.27999999999997,203.583
513.40999999999997,219.583
513.53999999999996,228.333
513.66999999999996,229.083
513.79999999999995,236.583
513.91999999999996,259.08300000000003
514.04999999999995,256.08299999999997
514.17999999999995,258.33300000000003
514.30999999999995,260.33300000000003
514.44000000000005,226.583
514.57000000000005,210.583
514.69000000000005,224.583
514.82000000000005,232.833
514.95000000000005,245.333
515.08000000000004,263.08300000000003
515.21000000000004,255.58300000000003
515.34000000000003,233.833
515.46000000000004,226.333
515.59000000000003,229.083
515.72000000000003,251.583
515.85000000000002,265.58300000000003
515.98000000000002,260.33299999999997
516.11000000000001,280.08300000000003
516.23000000000002,261.83300000000003
516.36000000000001,231.333
516.49000000000001,284.33299999999997
516.62,318.83300000000003
516.75,290.08300000000003
516.88,289.83300000000003
517.0,317.08300000000003
517.13,313.08300000000003
517.25999999999999,288.33300000000003
517.38999999999999,288.08300000000003
517.51999999999998,310.58300000000003
517.63999999999999,345.58300000000003
517.76999999999998,372.08300000000008
517.89999999999998,364.83300000000008
518.02999999999997,365.58300000000008
518.15999999999997,390.33300000000008
518.27999999999997,419.08300000000008
518.40999999999997,430.83300000000008
518.53999999999996,412.08300000000008
518.66999999999996,390.58300000000008
518.78999999999996,397.58300000000008
518.91999999999996,419.33300000000008
519.04999999999995,429.58300000000008
519.17999999999995,449.83300000000008
519.30999999999995,472.58300000000008
519.42999999999995,474.83300000000008
519.55999999999995,483.58300000000003
519.69000000000005,493.33299999999997
519.82000000000005,490.08300000000003
519.95000000000005,506.83299999999997
520.07000000000005,525.33299999999997
520.20000000000005,544.83299999999997
520.33000000000004,582.33299999999997
520.46000000000004,585.08299999999997
520.58000000000004,565.83299999999997
520.71000000000004,575.08299999999997
520.84000000000003,608.83299999999997
520.97000000000003,635.08299999999997
521.09000000000003,631.58299999999997
521.22000000000003,642.08299999999997
521.35000000000002,667.08299999999997
521.48000000000002,669.33299999999997
521.60000000000002,685.08299999999997
521.73000000000002,702.58299999999986
521.86000000000001,705.33299999999986
521.99000000000001,727.58299999999986
522.11000000000001,736.08299999999986
522.24000000000001,741.58299999999986
522.37,772.58299999999986
522.5,794.08300000000008
522.62,811.08300000000008
522.75,836.58300000000008
522.88,857.83300000000008
523.00999999999999,857.08300000000008
523.13,893.33300000000008
523.25999999999999,961.58300000000008
523.38999999999999,964.83300000000008
523.51999999999998,949.58300000000008
523.63999999999999,960.08300000000008
523.76999999999998,976.08300000000008
523.89999999999998,1010.8330000000001
524.01999999999998,1057.0830000000001
524.14999999999998,1084.3330000000001
524.27999999999997,1094.0830000000001
524.40999999999997,1115.3330000000001
524.52999999999997,1156.8330000000001
524.65999999999997,1193.8330000000001
524.78999999999996,1231.8330000000001
524.90999999999997,1272.8330000000001
525.03999999999996,1303.5830000000001
525.16999999999996,1326.3330000000001
525.29999999999995,1329.8330000000001
525.41999999999996,1354.8330000000001
525.54999999999995,1397.8330000000001
525.67999999999995,1418.0830000000001
525.79999999999995,1438.8330000000001
525.92999999999995,1476.0830000000001
526.05999999999995,1529.5830000000001
526.17999999999995,1583.0830000000001
526.30999999999995,1601.0830000000001
526.44000000000005,1619.3330000000001
526.57000000000005,1647.0830000000001
